purchase_date,usd_brl_rate,selic_rate,selic_target,ipca_inflation,usd_brl_change,usd_brl_volatility,usd_brl_30day_avg,usd_brl_high,usd_brl_low,selic_changed,high_interest_period
2017-10-13,3.1572,0.031096,8.25,0.42,-0.001059942098685318,0.006942291412217413,3.1510416666666665,0,0,0,0
2017-10-14,3.1583666666666668,0.031096,8.25,0.42,0.00036952574010729045,0.007585319816514842,3.151807222222222,0,0,0,0
2017-10-15,3.159533333333333,0.031096,8.25,0.42,0.0003693892412743871,0.00708137040957057,3.1529416666666665,0,0,0,0
2017-10-16,3.1607,0.031096,8.25,0.42,0.0003692528432468478,0.003925720706827574,3.1541327777777775,0,0,0,0
2017-10-17,3.1769,0.031096,8.25,0.42,0.005125446894675312,0.0067121848846078925,3.1558816666666667,0,0,0,0
2017-10-18,3.1673,0.031096,8.25,0.42,-0.0030218137177751014,0.00695328611736359,3.157328333333333,0,0,0,0
2017-10-19,3.1732,0.031096,8.25,0.42,0.0018627853376693704,0.007819768734944698,3.158691666666667,0,0,0,0
2017-10-20,3.1833,0.031096,8.25,0.42,0.0031829068448254727,0.009635436690201456,3.160531666666666,0,0,0,0
2017-10-21,3.1889666666666665,0.031096,8.25,0.42,0.00178012335207689,0.011114800181201182,3.1623405555555553,0,0,0,0
2017-10-22,3.1946333333333334,0.031096,8.25,0.42,0.0017769601438293314,0.01199244691745749,3.1645449999999995,0,0,0,0
2017-10-23,3.2003,0.031096,8.25,0.42,0.0017738081574305564,0.011889800439730303,3.1667972222222223,0,0,0,0
2017-10-24,3.247,0.031096,8.25,0.42,0.014592381964190881,0.026245284786876308,3.1704649999999996,0,0,0,0
2017-10-25,3.2387,0.031096,8.25,0.42,-0.002556205728364569,0.028157680542691292,3.173715,0,0,0,0
2017-10-26,3.2444,0.028333,7.5,0.42,0.0017599654182234303,0.028151659381379573,3.1762816666666667,0,0,1,0
2017-10-27,3.2801,0.028333,7.5,0.42,0.011003575391443698,0.033819545239564264,3.179178333333333,0,0,0,0
2017-10-28,3.2716333333333334,0.028333,7.5,0.42,-0.002581222117211901,0.03243315877861842,3.1819961111111112,0,0,0,0
2017-10-29,3.2631666666666668,0.028333,7.5,0.42,-0.002587902067265113,0.02640188284931012,3.185168333333333,0,0,0,0
2017-10-30,3.2547,0.028333,7.5,0.42,-0.002594616681137918,0.0151912377278145,3.1881005555555553,0,0,0,0
2017-10-31,3.2769,0.028333,7.5,0.42,0.006820905152548518,0.016056963743353005,3.191815,0,0,0,0
2017-11-01,3.2736,0.028333,7.5,0.28,-0.001007049345417843,0.012964691570280238,3.1954616666666666,0,0,0,0
2017-11-02,3.2828,0.028333,7.5,0.28,0.0028103616813293097,0.009883482559932745,3.1998816666666667,0,0,0,0
2017-11-03,3.292,0.028333,7.5,0.28,0.002802485682953604,0.012274630782464574,3.205231666666667,0,0,0,0
2017-11-04,3.2897,0.028333,7.5,0.28,-0.0006986634264884994,0.013630707629299956,3.210398333333333,0,0,0,0
2017-11-05,3.2874,0.028333,7.5,0.28,-0.0006991518983493483,0.012846196398312889,3.2144850000000003,0,0,0,0
2017-11-06,3.2851,0.028333,7.5,0.28,-0.0006996410537202236,0.006698685016601757,3.2183594444444448,0,0,0,0
2017-11-07,3.2733,0.028333,7.5,0.28,-0.003591975891144905,0.0074268496172575785,3.221705,0,0,0,0
2017-11-08,3.2509,0.028333,7.5,0.28,-0.006843246876241049,0.014248943152095347,3.224168333333333,0,0,0,0
2017-11-09,3.2515,0.028333,7.5,0.28,0.00018456427450863622,0.017764102379028285,3.226925,0,0,0,0
2017-11-10,3.2661,0.028333,7.5,0.28,0.004490235276026322,0.016452051543782212,3.2303316666666664,0,0,0,0
2017-11-11,3.2731666666666666,0.028333,7.5,0.28,0.0021636406315381773,0.014566176302062214,3.234085555555555,0,0,0,0
2017-11-12,3.2802333333333333,0.028333,7.5,0.28,0.002158969397627164,0.013307125035816107,3.2381866666666665,0,0,0,0
2017-11-13,3.2873,0.028333,7.5,0.28,0.002154318290365609,0.013778988682040427,3.2424844444444445,0,0,0,0
2017-11-14,3.2834,0.028333,7.5,0.28,-0.0011863839625224637,0.01480373362026609,3.2466133333333334,0,0,0,0
