purchase_date,weekday,month,is_holiday,holiday_name,is_carnival,is_weekend,is_friday,season,christmas_season,is_major_event,is_shopping_holiday,day_of_month,is_mid_month,is_last_3_days,is_day_24_non_december
2017-08-04,4,8,0,,0,0,1,Winter,0,0,0,4,0,0,0
2017-08-05,5,8,0,,0,1,0,Winter,0,0,0,5,0,0,0
2017-08-06,6,8,0,,0,1,0,Winter,0,0,0,6,0,0,0
2017-08-07,0,8,0,,0,0,0,Winter,0,0,0,7,0,0,0
2017-08-08,1,8,0,,0,0,0,Winter,0,0,0,8,0,0,0
2017-08-09,2,8,0,,0,0,0,Winter,0,0,0,9,0,0,0
2017-08-10,3,8,0,,0,0,0,Winter,0,0,0,10,0,0,0
2017-08-11,4,8,0,,0,0,1,Winter,0,0,0,11,0,0,0
2017-08-12,5,8,0,,0,1,0,Winter,0,0,0,12,0,0,0
2017-08-13,6,8,0,,0,1,0,Winter,0,0,1,13,0,0,0
2017-08-14,0,8,0,,0,0,0,Winter,0,0,0,14,1,0,0
2017-08-15,1,8,0,,0,0,0,Winter,0,0,0,15,1,0,0
2017-08-16,2,8,0,,0,0,0,Winter,0,0,0,16,1,0,0
2017-08-17,3,8,0,,0,0,0,Winter,0,0,0,17,0,0,0
2017-08-18,4,8,0,,0,0,1,Winter,0,0,0,18,0,0,0
2017-08-19,5,8,0,,0,1,0,Winter,0,0,0,19,0,0,0
2017-08-20,6,8,0,,0,1,0,Winter,0,0,0,20,0,0,0
2017-08-21,0,8,0,,0,0,0,Winter,0,0,0,21,0,0,0
2017-08-22,1,8,0,,0,0,0,Winter,0,0,0,22,0,0,0
2017-08-23,2,8,0,,0,0,0,Winter,0,0,0,23,0,0,0
